x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1092 2735 -43 122 2225 51 25 2790 27.900000 1 0 
1091 2670 -41 123 2275 51 25 2729 27.290001 1 0 
1092 2613 -40 124 2325 51 25 2677 26.770000 1 0 
1090 2549 -38 125 2375 51 25 2617 26.170000 1 0 
1093 2500 -37 126 2425 53 25 2574 25.740000 1 0 
1091 2443 -35 127 2475 51 25 2521 25.209999 1 0 
1091 2390 -34 128 2525 55 25 2473 24.730000 1 0 
1091 2342 -33 129 2575 57 25 2430 24.299999 1 0 
1089 2290 -31 130 2625 51 25 2382 23.820000 1 0 
1090 2246 -30 131 2675 59 25 2343 23.430000 1 0 
1086 2194 -29 132 2725 51 25 2295 22.950001 1 0 
1085 2149 -28 133 2775 57 25 2255 22.549999 1 0 
1085 2107 -27 134 2825 59 25 2218 22.180000 1 0 
1084 2027 -25 136 2925 59 25 2147 21.469999 1 0 
1085 1991 -24 137 2975 57 25 2116 21.160000 1 0 
1078 1923 -22 138 3050 61 25 2054 20.540001 1 0 
1075 1786 -19 140 3250 61 25 1936 19.360001 1 0 
1075 1667 -16 142 3450 65 25 1836 18.360001 1 0 
1075 1611 -15 143 3550 61 25 1790 17.900000 1 0 
1070 1502 -12 145 3750 63 25 1700 17.000000 1 0 
210 2511 -24 69 425 45 25 2364 23.639999 2 0 
219 2493 -24 70 450 71 25 2346 23.459999 2 0 
230 2494 -23 71 475 57 25 2348 23.480000 2 0 
249 2480 -23 72 525 25 25 2336 23.360001 2 0 
260 2491 -22 73 550 33 25 2348 23.480000 2 0 
269 2475 -22 74 575 115 25 2333 23.330000 2 0 
279 2478 -22 75 600 115 25 2337 23.370001 2 0 
290 2481 -22 76 625 113 25 2341 23.410000 2 0 
300 2479 -21 77 650 109 25 2340 23.400000 2 0 
310 2481 -21 78 675 107 25 2343 23.430000 2 0 
321 2479 -21 79 700 11 25 2343 23.430000 2 0 
353 2487 -20 80 775 67 25 2355 23.549999 2 0 
365 2499 -20 81 800 65 25 2368 23.680000 2 0 
269 2486 10 68 575 53 25 2344 23.440001 3 0 
279 2485 10 69 600 55 25 2344 23.440001 3 0 
289 2484 10 70 625 55 25 2344 23.440001 3 0 
299 2479 10 71 650 49 25 2340 23.400000 3 0 
309 2477 11 72 675 19 25 2339 23.389999 3 0 
69 7093 -7 499 270 255 25 6936 69.362000 13 1 
331 7568 -2 500 468 127 25 7419 74.192001 13 1 
357 7561 -1 501 488 127 25 7412 74.128006 13 1 
407 7555 -1 502 527 255 25 7409 74.098007 13 1 
224 2486 -19 503 787 20 25 2341 23.412001 13 1 
345 2475 -17 504 1084 180 25 2346 23.460001 13 1 
370 2477 -17 505 1144 255 25 2352 23.520000 13 1 
1121 4179 0 507 1778 27 25 4179 41.796001 13 1 
1093 2251 -3 508 2991 10 25 2369 23.692001 13 1 
1098 2157 -3 510 3111 10 25 2289 22.892000 13 1 
1095 2136 -3 511 3131 10 25 2269 22.692001 13 1 
1081 1598 -4 544 3928 7 25 1810 18.108002 13 1 
-7 7088 -41 881 410 82 25 7075 70.752007 28 2 
1083 1643 9 27 3285 5 25 1898 18.984001 45 3 
1083 1629 9 28 3305 5 25 1886 18.864000 45 3 
861 -3411 293 639 16971 55 25 3518 35.188004 46 3 
865 -3488 300 640 16991 85 25 3595 35.958000 46 3 
846 -3457 297 641 17011 57 25 3561 35.616001 46 3 
850 -3538 304 642 17031 57 25 3641 36.412003 46 3 
835 -3528 303 643 17051 57 25 3628 36.288002 46 3 
832 -3577 307 644 17071 60 25 3676 36.760002 46 3 
819 -3578 308 645 17091 30 25 3674 36.748001 46 3 
819 -3647 314 646 17111 60 25 3742 37.428001 46 3 
876 -3161 387 534 16854 50 25 3290 32.902000 47 3 
879 -3272 400 536 16894 52 25 3399 33.996002 47 3 
