x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1088 2791 -44 128 2175 45 25 2840 28.400000 1 0 
1087 2722 -42 129 2225 45 25 2776 27.760000 1 0 
1087 2660 -41 130 2275 49 25 2718 27.180000 1 0 
1087 2599 -39 131 2325 49 25 2662 26.620001 1 0 
1092 2554 -38 132 2375 65 25 2623 26.230000 1 0 
1088 2488 -36 133 2425 49 25 2561 25.610001 1 0 
1089 2437 -35 134 2475 53 25 2515 25.150000 1 0 
1085 2379 -34 135 2525 49 25 2461 24.610001 1 0 
1086 2331 -33 136 2575 55 25 2418 24.180000 1 0 
1086 2283 -31 137 2625 55 25 2374 23.740000 1 0 
1085 2235 -30 138 2675 57 25 2331 23.309999 1 0 
1083 2187 -29 139 2725 59 25 2287 22.870001 1 0 
1084 2145 -28 140 2775 59 25 2251 22.510000 1 0 
1084 2105 -27 141 2825 57 25 2215 22.150000 1 0 
1081 2059 -26 142 2875 55 25 2174 21.740000 1 0 
1081 2020 -25 143 2925 55 25 2139 21.389999 1 0 
1083 1986 -24 144 2975 55 25 2111 21.110001 1 0 
1083 1933 -22 145 3050 57 25 2065 20.650000 1 0 
1084 1865 -21 146 3150 57 25 2007 20.070000 1 0 
1078 1791 -19 147 3250 57 25 1941 19.410000 1 0 
1077 1669 -16 149 3450 59 25 1839 18.389999 1 0 
234 2550 -24 67 475 47 25 2404 24.040001 2 0 
243 2532 -23 68 500 63 25 2387 23.870001 2 0 
253 2529 -23 69 525 33 25 2385 23.850000 2 0 
274 2527 -23 70 575 17 25 2385 23.850000 2 0 
285 2528 -22 71 600 35 25 2387 23.870001 2 0 
294 2517 -22 72 625 111 25 2377 23.770000 2 0 
305 2520 -22 73 650 109 25 2381 23.809999 2 0 
315 2518 -21 74 675 109 25 2381 23.809999 2 0 
325 2517 -21 75 700 109 25 2381 23.809999 2 0 
336 2516 -21 76 725 75 25 2381 23.809999 2 0 
380 2530 -20 77 825 63 25 2401 24.010000 2 0 
392 2540 -20 78 850 41 25 2413 24.129999 2 0 
293 2520 10 68 625 49 25 2380 23.799999 3 0 
304 2523 11 69 650 49 25 2384 23.840000 3 0 
314 2518 11 70 675 51 25 2380 23.799999 3 0 
325 2519 11 71 700 45 25 2383 23.830000 3 0 
310 7543 -2 494 453 250 25 7393 73.932007 13 1 
336 7531 -2 495 473 127 25 7382 73.820000 13 1 
361 7528 -1 496 493 250 25 7380 73.804001 13 1 
387 7524 -1 497 513 127 25 7378 73.780006 13 1 
413 7525 -1 498 533 127 25 7380 73.800003 13 1 
427 4917 -8 499 732 40 25 4780 47.804001 13 1 
691 7213 1 500 772 112 25 7091 70.916000 13 1 
313 2523 -17 501 991 10 25 2388 23.888000 13 1 
387 2512 -16 502 1170 10 25 2388 23.888000 13 1 
397 2520 -16 503 1191 10 25 2398 23.988001 13 1 
405 2521 -16 504 1210 10 25 2401 24.016001 13 1 
1100 2886 -2 528 2424 15 25 2948 29.484001 13 1 
1093 2816 -2 529 2464 15 25 2881 28.812002 13 1 
1094 2791 -2 530 2484 15 25 2858 28.584002 13 1 
