x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1093 2557 -38 130 2375 49 25 2626 26.260000 1 0 
1093 2501 -37 131 2425 55 25 2575 25.750000 1 0 
1094 2449 -35 132 2475 53 25 2528 25.280001 1 0 
1094 2397 -34 133 2525 55 25 2481 24.809999 1 0 
1090 2339 -33 134 2575 55 25 2427 24.270000 1 0 
1093 2298 -32 135 2625 61 25 2391 23.910000 1 0 
1091 2246 -30 136 2675 57 25 2344 23.440001 1 0 
1086 2194 -29 137 2725 55 25 2295 22.950001 1 0 
1085 2149 -28 138 2775 57 25 2255 22.549999 1 0 
167 2481 -25 72 325 29 25 2331 23.309999 2 0 
176 2456 -24 73 350 61 25 2306 23.059999 2 0 
185 2443 -24 74 375 77 25 2294 22.940001 2 0 
194 2431 -23 75 400 71 25 2283 22.830000 2 0 
206 2450 -23 76 425 29 25 2302 23.020000 2 0 
215 2435 -23 77 450 33 25 2288 22.879999 2 0 
225 2434 -23 78 475 43 25 2288 22.879999 2 0 
235 2438 -22 79 500 111 25 2293 22.930000 2 0 
244 2429 -22 80 525 117 25 2285 22.850000 2 0 
254 2428 -22 81 550 117 25 2285 22.850000 2 0 
264 2431 -22 82 575 113 25 2289 22.889999 2 0 
275 2432 -21 83 600 81 25 2291 22.910000 2 0 
285 2435 -21 84 625 21 25 2295 22.950001 2 0 
295 2431 -21 85 650 19 25 2292 22.920000 2 0 
304 2426 -21 86 675 61 25 2288 22.879999 2 0 
315 2435 -20 87 700 73 25 2298 22.980000 2 0 
327 2450 -20 88 725 65 25 2315 23.150000 2 0 
183 2416 7 70 375 49 25 2267 22.670000 3 0 
193 2417 7 71 400 57 25 2268 22.680000 3 0 
234 2442 9 72 500 57 25 2297 22.969999 3 0 
244 2441 9 73 525 57 25 2297 22.969999 3 0 
255 2442 9 74 550 61 25 2298 22.980000 3 0 
264 2440 9 75 575 57 25 2297 22.969999 3 0 
301 2405 10 76 675 49 25 2267 22.670000 3 0 
312 2412 11 77 700 53 25 2275 22.750000 3 0 
107 6932 -7 509 304 97 25 6776 67.764000 13 1 
430 7572 0 510 544 130 25 7428 74.280006 13 1 
456 7574 0 511 564 130 25 7432 74.320007 13 1 
481 7584 0 512 583 130 25 7444 74.440002 13 1 
533 7579 0 513 623 17 25 7442 74.424004 13 1 
209 2440 -19 514 763 10 25 2294 22.944000 13 1 
