x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
233 2662 -25 66 450 29 25 2516 25.160000 2 0 
244 2543 -24 67 500 63 25 2398 23.980000 2 0 
254 2540 -23 68 525 57 25 2396 23.959999 2 0 
286 2537 -22 69 600 29 25 2396 23.959999 2 0 
295 2526 -22 70 625 99 25 2386 23.860001 2 0 
305 2527 -22 71 650 107 25 2388 23.879999 2 0 
316 2525 -21 72 675 107 25 2388 23.879999 2 0 
326 2524 -21 73 700 107 25 2388 23.879999 2 0 
337 2524 -21 74 725 109 25 2389 23.889999 2 0 
348 2532 -21 75 750 41 25 2399 23.990000 2 0 
381 2541 -20 76 825 53 25 2412 24.120001 2 0 
393 2548 -20 77 850 57 25 2421 24.209999 2 0 
1080 1647 9 110 3500 27 25 1823 18.230000 2 0 
294 2527 10 68 625 41 25 2387 23.870001 3 0 
305 2527 11 69 650 49 25 2388 23.879999 3 0 
315 2525 11 70 675 47 25 2387 23.870001 3 0 
325 2519 11 71 700 47 25 2383 23.830000 3 0 
335 2517 11 72 725 39 25 2382 23.820000 3 0 
-2 7250 -7 497 210 70 25 7093 70.934006 13 1 
19 7250 -7 498 228 255 25 7092 70.928001 13 1 
45 7249 -7 499 249 112 25 7092 70.924004 13 1 
71 7255 -6 500 270 255 25 7098 70.980003 13 1 
94 7254 -6 501 289 255 25 7097 70.974007 13 1 
303 7539 -2 502 447 127 25 7389 73.892006 13 1 
328 7523 -2 503 467 127 25 7374 73.740005 13 1 
380 7519 -1 504 508 255 25 7372 73.728004 13 1 
406 7519 -1 505 528 77 25 7374 73.740005 13 1 
425 4948 -8 506 726 42 25 4811 48.116001 13 1 
442 4947 -8 507 746 42 25 4811 48.116001 13 1 
254 2536 -18 508 846 10 25 2394 23.944000 13 1 
269 2527 -18 509 885 255 25 2387 23.872002 13 1 
277 2526 -18 510 905 255 25 2387 23.870001 13 1 
285 2524 -18 511 925 250 25 2386 23.864000 13 1 
387 2522 -16 512 1166 255 25 2398 23.986002 13 1 
395 2524 -16 513 1184 175 25 2402 24.022001 13 1 
1101 2256 18 3 2583 7 25 2452 24.520000 45 3 
1086 1650 9 14 3281 5 25 1905 19.056002 45 3 
855 -4339 374 679 17237 42 25 4433 44.330002 46 3 
798 -4806 415 687 17395 55 25 4887 48.874001 46 3 
765 -4686 405 688 17414 52 25 4763 47.630001 46 3 
765 -4804 415 689 17434 55 25 4881 48.810001 46 3 
