x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1089 2605 -39 127 2325 47 25 2669 26.690001 1 0 
1092 2553 -38 128 2375 49 25 2622 26.219999 1 0 
1090 2493 -37 129 2425 53 25 2566 25.660000 1 0 
1089 2437 -35 130 2475 55 25 2515 25.150000 1 0 
1088 2384 -34 131 2525 51 25 2466 24.660000 1 0 
1085 2329 -32 132 2575 55 25 2415 24.150000 1 0 
1086 2284 -31 133 2625 55 25 2376 23.760000 1 0 
1085 2235 -30 134 2675 55 25 2331 23.309999 1 0 
1086 2194 -29 135 2725 53 25 2295 22.950001 1 0 
1085 2149 -28 136 2775 55 25 2255 22.549999 1 0 
1084 2105 -27 137 2825 53 25 2215 22.150000 1 0 
1085 2066 -26 138 2875 55 25 2182 21.820000 1 0 
222 2532 -24 71 450 49 25 2385 23.850000 2 0 
231 2512 -23 72 475 69 25 2366 23.660000 2 0 
241 2508 -23 73 500 49 25 2363 23.629999 2 0 
262 2507 -23 74 550 31 25 2364 23.639999 2 0 
272 2505 -22 75 575 35 25 2363 23.629999 2 0 
281 2498 -22 76 600 115 25 2357 23.570000 2 0 
292 2497 -22 77 625 113 25 2357 23.570000 2 0 
302 2496 -21 78 650 113 25 2357 23.570000 2 0 
313 2499 -21 79 675 111 25 2361 23.610001 2 0 
323 2495 -21 80 700 81 25 2359 23.590000 2 0 
333 2498 -21 81 725 21 25 2363 23.629999 2 0 
366 2511 -20 82 800 67 25 2380 23.799999 2 0 
378 2519 -20 83 825 79 25 2390 23.900000 2 0 
65 7124 12 72 25 19 25 6970 69.699997 3 0 
281 2505 10 73 600 49 25 2364 23.639999 3 0 
292 2504 10 74 625 49 25 2364 23.639999 3 0 
302 2503 10 75 650 49 25 2364 23.639999 3 0 
312 2502 11 76 675 49 25 2364 23.639999 3 0 
38 7147 -7 500 244 255 25 6989 69.898003 13 0 
61 7148 -7 501 263 162 25 6991 69.912003 13 0 
86 7154 -7 502 283 207 25 6997 69.974007 13 0 
323 7561 -2 503 462 127 25 7411 74.112007 13 0 
348 7551 -2 504 482 127 25 7403 74.032005 13 0 
398 7544 -1 505 521 255 25 7398 73.986000 13 0 
262 2493 -18 506 878 255 25 2352 23.526001 13 0 
353 2492 -17 507 1097 42 25 2363 23.636002 13 0 
379 2493 -16 508 1158 255 25 2368 23.688002 13 0 
1103 2569 -3 509 2688 12 25 2658 26.588001 13 0 
1097 2316 -3 510 2926 10 25 2428 24.288002 13 0 
854 -3802 327 659 17104 62 25 3902 39.020000 46 2 
848 -3839 330 660 17123 65 25 3938 39.380001 46 2 
834 -3907 336 662 17162 65 25 4002 40.024002 46 2 
821 -3915 337 663 17182 65 25 4007 40.074001 46 2 
840 -4109 354 664 17204 75 25 4203 42.030003 46 2 
827 -4115 354 665 17223 75 25 4206 42.062000 46 2 
829 -4211 363 666 17242 80 25 4301 43.018002 46 2 
813 -4214 363 667 17263 122 25 4302 43.024002 46 2 
