x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1099 3197 -54 118 1925 39 25 3224 32.240002 1 0 
1100 3116 -52 119 1975 39 25 3148 31.480000 1 0 
1097 3029 -50 120 2025 47 25 3065 30.650000 1 0 
1095 2948 -48 121 2075 41 25 2989 29.889999 1 0 
1093 2871 -46 122 2125 39 25 2916 29.160000 1 0 
1094 2806 -44 123 2175 43 25 2856 28.559999 1 0 
1092 2735 -43 124 2225 47 25 2789 27.889999 1 0 
1088 2663 -41 125 2275 57 25 2722 27.219999 1 0 
1090 2606 -39 126 2325 49 25 2670 26.700001 1 0 
1093 2555 -38 127 2375 53 25 2624 26.240000 1 0 
1088 2490 -37 128 2425 53 25 2563 25.629999 1 0 
1084 2428 -35 129 2475 47 25 2505 25.049999 1 0 
1085 2377 -34 130 2525 51 25 2459 24.590000 1 0 
1081 2320 -32 131 2575 51 25 2406 24.059999 1 0 
1082 2276 -31 132 2625 53 25 2367 23.670000 1 0 
1079 2224 -30 133 2675 59 25 2319 23.190001 1 0 
1084 2190 -29 134 2725 65 25 2291 22.910000 1 0 
1079 2138 -28 135 2775 55 25 2242 22.420000 1 0 
1080 2098 -27 136 2825 55 25 2207 22.070000 1 0 
1079 2056 -26 137 2875 55 25 2170 21.700001 1 0 
1081 2020 -25 138 2925 53 25 2139 21.389999 1 0 
1081 1983 -24 139 2975 55 25 2107 21.070000 1 0 
1079 1926 -22 140 3050 57 25 2057 20.570000 1 0 
1081 1860 -21 141 3150 57 25 2002 20.020000 1 0 
1080 1794 -19 142 3250 61 25 1945 19.450001 1 0 
1078 1730 -17 143 3350 55 25 1890 18.900000 1 0 
1078 1671 -16 144 3450 59 25 1841 18.410000 1 0 
1079 1617 -15 145 3550 57 25 1798 17.980000 1 0 
1079 1513 -12 147 3750 57 25 1714 17.139999 1 0 
1077 1373 -9 150 4050 37 25 1604 16.040001 1 0 
37 7305 -87 66 36000 29 25 7151 71.510002 2 0 
250 2612 -24 67 500 9 25 2467 24.670000 2 0 
257 2569 -24 68 525 65 25 2425 24.250000 2 0 
267 2562 -23 69 550 71 25 2419 24.190001 2 0 
277 2556 -23 70 575 45 25 2414 24.139999 2 0 
297 2547 -22 71 625 63 25 2407 24.070000 2 0 
308 2551 -22 72 650 77 25 2413 24.129999 2 0 
319 2550 -22 73 675 111 25 2413 24.129999 2 0 
329 2548 -21 74 700 113 25 2412 24.120001 2 0 
340 2547 -21 75 725 113 25 2412 24.120001 2 0 
350 2549 -21 76 750 111 25 2416 24.160000 2 0 
361 2549 -21 77 775 51 25 2417 24.170000 2 0 
395 2559 -20 78 850 51 25 2432 24.320000 2 0 
407 2570 -20 79 875 59 25 2445 24.450001 2 0 
1081 1706 8 110 3400 17 25 1872 18.719999 2 0 
34 7273 12 69 36000 9 25 7119 71.190002 3 0 
318 2548 11 70 675 47 25 2411 24.110001 3 0 
329 2556 11 71 700 49 25 2420 24.200001 3 0 
339 2550 12 72 725 47 25 2415 24.150000 3 0 
350 2553 12 73 750 53 25 2420 24.200001 3 0 
-9 7322 -7 501 205 115 25 7164 71.646004 13 1 
14 7315 -7 502 224 250 25 7158 71.580002 13 1 
39 7321 -7 503 244 115 25 7164 71.646004 13 1 
64 7327 -6 504 264 115 25 7170 71.702003 13 1 
91 7328 -6 505 285 115 25 7172 71.722000 13 1 
297 7502 -2 506 444 250 25 7351 73.518005 13 1 
322 7496 -2 507 464 250 25 7346 73.468002 13 1 
348 7490 -2 508 484 250 25 7341 73.416000 13 1 
374 7490 -1 509 504 250 25 7343 73.434006 13 1 
399 7490 -1 510 524 250 25 7345 73.450005 13 1 
425 7494 -1 511 544 125 25 7350 73.502007 13 1 
451 7498 0 512 564 250 25 7356 73.562004 13 1 
433 5070 -8 513 722 45 25 4933 49.330002 13 1 
448 5046 -8 514 742 87 25 4910 49.108002 13 1 
466 5042 -7 515 763 42 25 4908 49.084003 13 1 
296 2550 -18 516 941 255 25 2413 24.130001 13 1 
388 2550 -16 517 1158 55 25 2426 24.264002 13 1 
414 2551 -16 518 1218 255 25 2432 24.322001 13 1 
1098 2494 -3 520 2749 12 25 2588 25.888000 13 1 
1097 2450 -3 521 2789 225 25 2548 25.488001 13 1 
1097 2316 -3 522 2928 10 25 2428 24.288002 13 1 
1093 2183 -3 523 3069 10 25 2309 23.092001 13 1 
1091 2115 -3 524 3148 7 25 2249 22.492001 13 1 
1088 2048 -3 525 3227 7 25 2189 21.892000 13 1 
1082 2024 -4 526 3247 7 25 2166 21.660002 13 1 
1081 2006 -4 527 3268 7 25 2149 21.492001 13 1 
1087 2002 -4 528 3287 7 25 2149 21.492001 13 1 
1088 1989 -3 529 3307 7 25 2139 21.392000 13 1 
1085 1956 -4 530 3347 7 25 2109 21.092001 13 1 
1086 1944 -4 531 3367 7 25 2099 20.992001 13 1 
1087 1931 -4 532 3387 7 25 2089 20.892000 13 1 
1082 1911 -4 533 3406 7 25 2069 20.692001 13 1 
1086 1904 -4 534 3426 7 25 2065 20.652000 13 1 
1084 1886 -4 535 3446 7 25 2049 20.492001 13 1 
1079 1866 -4 536 3466 7 25 2029 20.292002 13 1 
1085 1862 -4 537 3486 7 25 2029 20.292002 13 1 
1086 1849 -4 538 3506 7 25 2019 20.192001 13 1 
1086 1837 -4 539 3526 7 25 2009 20.092001 13 1 
1083 1820 -4 540 3546 7 25 1993 19.932001 13 1 
1086 1813 -4 541 3565 7 25 1989 19.892000 13 1 
1084 1773 -4 543 3625 7 25 1954 19.548000 13 1 
1087 1765 -4 544 3645 7 25 1949 19.496000 13 1 
1087 1741 -4 546 3685 7 25 1929 19.296001 13 1 
1086 1729 -4 547 3705 7 25 1919 19.196001 13 1 
1083 1678 -4 551 3785 7 25 1876 18.768002 13 1 
1084 1669 -4 552 3805 7 25 1869 18.696001 13 1 
1081 1643 -4 554 3844 7 25 1846 18.464001 13 1 
1080 1631 -4 555 3864 7 25 1837 18.372002 13 1 
1083 1625 -4 556 3884 15 25 1833 18.336000 13 1 
1083 1582 -4 560 3963 7 25 1799 17.996000 13 1 
1082 1571 -4 561 3983 5 25 1789 17.896000 13 1 
1080 1482 -4 570 4161 5 25 1719 17.196001 13 1 
1080 1472 -4 571 4181 5 25 1712 17.120001 13 1 
287 -3291 -61 703 17890 12 25 3310 33.104000 44 3 
276 -3286 -61 704 17910 12 25 3304 33.048000 44 3 
264 -3291 -61 705 17931 12 25 3308 33.088001 44 3 
253 -3300 -61 706 17951 12 25 3317 33.176003 44 3 
241 -3295 -60 707 17971 12 25 3312 33.120003 44 3 
229 -3288 -60 708 17991 12 25 3304 33.048000 44 3 
218 -3281 -60 709 18010 12 25 3297 32.976002 44 3 
206 -3279 -59 710 18030 12 25 3294 32.948002 44 3 
195 -3277 -59 711 18050 12 25 3292 32.928001 44 3 
183 -3271 -59 712 18070 12 25 3286 32.860001 44 3 
172 -3270 -59 713 18090 12 25 3284 32.848003 44 3 
160 -3290 -59 714 18110 12 25 3304 33.048000 44 3 
149 -3281 -58 715 18129 12 25 3296 32.960003 44 3 
138 -3276 -58 716 18149 27 25 3290 32.908001 44 3 
126 -3284 -58 717 18169 12 25 3298 32.988003 44 3 
1086 1685 10 3 3229 5 25 1936 19.364000 45 3 
1084 1667 10 4 3249 5 25 1919 19.192001 45 3 
136 -3429 59 660 18158 17 25 3444 34.440002 45 3 
