x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1082 2142 -28 136 2775 55 25 2247 22.469999 1 0 
1080 2098 -27 137 2825 55 25 2207 22.070000 1 0 
1079 2056 -26 138 2875 53 25 2170 21.700001 1 0 
1081 2020 -25 139 2925 53 25 2139 21.389999 1 0 
1083 1986 -24 140 2975 53 25 2111 21.110001 1 0 
1089 1942 -23 141 3050 73 25 2076 20.760000 1 0 
1077 1854 -21 142 3150 55 25 1994 19.940001 1 0 
1078 1791 -19 143 3250 57 25 1941 19.410000 1 0 
1081 1733 -17 144 3350 57 25 1894 18.940001 1 0 
1081 1676 -16 145 3450 57 25 1847 18.469999 1 0 
1071 1284 -7 153 4250 41 25 1533 15.330000 1 0 
241 2636 -25 69 475 0 25 2491 24.910000 2 0 
256 2557 -23 70 525 69 25 2413 24.129999 2 0 
266 2554 -23 71 550 65 25 2411 24.110001 2 0 
275 2539 -23 72 575 43 25 2397 23.969999 2 0 
298 2553 -22 73 625 0 25 2413 24.129999 2 0 
307 2544 -22 74 650 111 25 2406 24.059999 2 0 
319 2549 -22 75 675 107 25 2412 24.120001 2 0 
328 2540 -21 76 700 113 25 2404 24.040001 2 0 
338 2539 -21 77 725 113 25 2404 24.040001 2 0 
350 2544 -21 78 750 107 25 2411 24.110001 2 0 
360 2539 -21 79 775 25 25 2407 24.070000 2 0 
382 2550 -20 80 825 29 25 2421 24.209999 2 0 
394 2554 -20 81 850 65 25 2427 24.270000 2 0 
406 2565 -20 82 875 69 25 2439 24.389999 2 0 
1079 1826 7 110 3200 21 25 1971 19.709999 2 0 
1079 1763 8 111 3300 21 25 1918 19.180000 2 0 
1077 1699 8 112 3400 31 25 1864 18.639999 2 0 
1080 1647 9 113 3500 47 25 1823 18.230000 2 0 
1081 1595 10 114 3600 47 25 1781 17.809999 2 0 
1075 1486 11 116 3800 49 25 1690 16.900000 2 0 
1073 1436 12 117 3900 11 25 1650 16.500000 2 0 
1068 1188 15 123 4500 37 25 1462 14.620000 2 0 
34 7252 12 67 36000 0 25 7098 70.980003 3 0 
272 2513 10 68 575 27 25 2371 23.709999 3 0 
307 2547 11 69 650 53 25 2408 24.080000 3 0 
318 2549 11 70 675 51 25 2412 24.120001 3 0 
328 2548 11 71 700 53 25 2412 24.120001 3 0 
339 2548 12 72 725 57 25 2413 24.129999 3 0 
348 2538 12 73 750 31 25 2404 24.040001 3 0 
2 7298 -7 502 214 250 25 7141 71.410004 13 1 
25 7296 -7 503 233 10 25 7139 71.390007 13 1 
50 7301 -7 504 253 115 25 7144 71.444000 13 1 
75 7303 -6 505 273 17 25 7146 71.466003 13 1 
100 7309 -6 506 293 115 25 7152 71.524002 13 1 
309 7519 -2 507 453 125 25 7369 73.696007 13 1 
334 7515 -2 508 472 125 25 7366 73.664001 13 1 
359 7507 -2 509 492 40 25 7359 73.592003 13 1 
385 7506 -1 510 512 47 25 7359 73.598007 13 1 
437 7513 0 511 552 125 25 7369 73.696007 13 1 
453 5017 -8 512 751 42 25 4882 48.826004 13 1 
255 2686 -18 513 811 12 25 2543 25.430000 13 1 
282 2551 -18 514 910 10 25 2412 24.122002 13 1 
291 2547 -18 515 931 10 25 2409 24.090002 13 1 
300 2553 -17 516 950 10 25 2416 24.162001 13 1 
368 2556 -16 517 1110 10 25 2429 24.290001 13 1 
393 2552 -16 518 1168 10 25 2429 24.290001 13 1 
401 2544 -16 519 1189 10 25 2423 24.234001 13 1 
410 2545 -16 520 1210 10 25 2425 24.250002 13 1 
418 2547 -16 521 1229 10 25 2429 24.290001 13 1 
1100 2642 -2 528 2619 215 25 2724 27.242001 13 1 
1094 2318 -3 529 2919 10 25 2429 24.290001 13 1 
1086 2232 -3 530 2997 10 25 2349 23.494001 13 1 
1089 2221 -3 531 3017 10 25 2340 23.406002 13 1 
1089 2185 -3 532 3057 10 25 2309 23.094002 13 1 
1096 2181 -3 533 3077 10 25 2309 23.094002 13 1 
1090 2139 -3 534 3116 10 25 2269 22.694000 13 1 
1087 2118 -3 535 3136 7 25 2249 22.494001 13 1 
1084 2096 -3 536 3157 7 25 2229 22.294001 13 1 
1091 2093 -3 537 3176 7 25 2229 22.294001 13 1 
1087 2071 -3 538 3196 7 25 2209 22.094002 13 1 
1087 2057 -3 539 3215 7 25 2196 21.966002 13 1 
1091 2046 -3 540 3236 7 25 2189 21.894001 13 1 
1087 2025 -3 541 3256 7 25 2169 21.694000 13 1 
1086 1994 -4 542 3296 7 25 2142 21.424002 13 1 
1090 1986 -3 543 3316 7 25 2137 21.376001 13 1 
1087 1967 -4 544 3335 7 25 2119 21.192001 13 1 
1087 1955 -4 545 3354 7 25 2109 21.092001 13 1 
1090 1945 -3 546 3374 7 25 2102 21.020000 13 1 
1085 1909 -4 548 3414 7 25 2069 20.692001 13 1 
1091 1905 -3 549 3434 7 25 2069 20.692001 13 1 
1086 1885 -4 550 3454 7 25 2049 20.492001 13 1 
1087 1872 -4 551 3474 7 25 2039 20.392000 13 1 
1087 1860 -4 552 3494 7 25 2029 20.292002 13 1 
1089 1850 -4 553 3514 7 25 2021 20.216002 13 1 
1084 1830 -4 554 3533 7 25 2001 20.016001 13 1 
1084 1818 -4 555 3553 7 25 1992 19.920000 13 1 
1089 1812 -4 556 3573 7 25 1989 19.892000 13 1 
1084 1767 -4 559 3633 7 25 1949 19.496000 13 1 
1089 1763 -4 560 3653 7 25 1949 19.496000 13 1 
1083 1719 -4 563 3713 7 25 1909 19.096001 13 1 
1085 1711 -4 564 3733 7 25 1904 19.040001 13 1 
1084 1665 -4 568 3812 7 25 1866 18.664001 13 1 
1084 1569 -4 577 3991 5 25 1789 17.896000 13 1 
1088 1863 12 3 2986 5 25 2092 20.924002 45 3 
