x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
181 2545 -25 71 350 39 25 2396 23.959999 2 0 
188 2488 -24 72 375 35 25 2339 23.389999 2 0 
197 2464 -24 73 400 77 25 2316 23.160000 2 0 
206 2455 -23 74 425 71 25 2307 23.070000 2 0 
216 2447 -23 75 450 57 25 2300 23.000000 2 0 
226 2452 -23 76 475 17 25 2306 23.059999 2 0 
236 2452 -23 77 500 21 25 2307 23.070000 2 0 
246 2451 -22 78 525 105 25 2307 23.070000 2 0 
256 2452 -22 79 550 111 25 2309 23.090000 2 0 
266 2450 -22 80 575 113 25 2308 23.080000 2 0 
276 2449 -22 81 600 113 25 2308 23.080000 2 0 
286 2448 -21 82 625 115 25 2308 23.080000 2 0 
297 2452 -21 83 650 51 25 2313 23.129999 2 0 
315 2436 -20 84 700 59 25 2299 22.990000 2 0 
327 2448 -20 85 725 61 25 2313 23.129999 2 0 
339 2462 -20 86 750 67 25 2328 23.280001 2 0 
351 2477 -20 87 775 33 25 2344 23.440001 2 0 
123 6944 14 73 75 31 25 6790 67.900002 3 0 
193 2426 7 74 400 37 25 2277 22.770000 3 0 
203 2426 8 75 425 45 25 2278 22.780001 3 0 
213 2426 8 76 450 49 25 2279 22.790001 3 0 
246 2456 9 77 525 53 25 2312 23.120001 3 0 
256 2455 9 78 550 55 25 2312 23.120001 3 0 
266 2455 9 79 575 57 25 2313 23.129999 3 0 
276 2454 10 80 600 57 25 2313 23.129999 3 0 
286 2452 10 81 625 55 25 2312 23.120001 3 0 
312 2419 11 82 700 45 25 2282 22.820000 3 0 
322 2418 11 83 725 43 25 2282 22.820000 3 0 
76 6981 -7 504 277 100 25 6824 68.248001 13 1 
344 7592 -2 505 477 130 25 7444 74.440002 13 1 
420 7565 -1 506 537 250 25 7421 74.210007 13 1 
446 7567 0 507 557 130 25 7424 74.240005 13 1 
472 7567 0 508 577 130 25 7426 74.264000 13 1 
216 2455 -19 509 776 10 25 2309 23.092001 13 1 
224 2450 -19 510 796 20 25 2305 23.056002 13 1 
231 2447 -19 511 816 20 25 2302 23.028002 13 1 
240 2451 -19 512 836 10 25 2308 23.080002 13 1 
248 2447 -19 513 856 10 25 2305 23.052002 13 1 
255 2446 -18 514 875 10 25 2304 23.044001 13 1 
263 2449 -18 515 894 10 25 2309 23.092001 13 1 
272 2448 -18 516 915 10 25 2309 23.092001 13 1 
335 2441 -17 517 1074 50 25 2311 23.110001 13 1 
344 2444 -17 518 1095 92 25 2315 23.152000 13 1 
353 2446 -17 519 1114 70 25 2318 23.180000 13 1 
362 2455 -17 520 1134 10 25 2329 23.292002 13 1 
1152 4940 3 521 1573 40 25 4923 49.232002 13 1 
1108 2534 -2 522 2730 12 25 2628 26.288002 13 1 
1107 2512 -3 523 2749 12 25 2608 26.088001 13 1 
1106 2490 -3 524 2768 12 25 2588 25.888000 13 1 
1105 2446 -3 525 2809 12 25 2548 25.488001 13 1 
1103 2403 -3 526 2848 10 25 2508 25.088001 13 1 
1101 2381 -3 527 2867 10 25 2488 24.888000 13 1 
1100 2359 -3 528 2887 10 25 2468 24.688002 13 1 
1102 2345 -3 529 2907 10 25 2456 24.568001 13 1 
1100 2303 -3 530 2947 10 25 2418 24.188002 13 1 
1099 2248 -3 532 3007 10 25 2369 23.692001 13 1 
1096 2226 -3 533 3026 10 25 2349 23.492001 13 1 
1092 2183 -3 535 3066 10 25 2309 23.092001 13 1 
1091 2133 -3 538 3126 10 25 2264 22.644001 13 1 
1092 2119 -3 539 3146 10 25 2253 22.536001 13 1 
1091 2069 -3 542 3206 7 25 2209 22.092001 13 1 
893 -2444 210 625 16439 55 25 2589 25.892002 46 3 
870 -2589 222 632 16579 40 25 2721 27.214001 46 3 
874 -2670 229 634 16619 82 25 2800 28.006001 46 3 
858 -2685 230 636 16659 40 25 2811 28.110001 46 3 
848 -2689 231 637 16679 85 25 2812 28.122002 46 3 
872 -2813 242 638 16699 90 25 2938 29.384001 46 3 
874 -2902 249 640 16738 70 25 3025 30.252001 46 3 
847 -2839 244 641 16758 90 25 2958 29.580002 46 3 
850 -2893 248 642 16778 45 25 3010 30.106001 46 3 
853 -2944 253 643 16797 70 25 3061 30.616001 46 3 
843 -2948 253 644 16818 70 25 3062 30.622002 46 3 
853 -3038 261 645 16838 72 25 3152 31.524002 46 3 
849 -3064 263 646 16858 75 25 3177 31.770002 46 3 
838 -3064 263 647 16877 25 25 3175 31.750002 46 3 
892 -2465 304 570 16460 30 25 2618 26.180000 47 3 
884 -2472 304 571 16480 60 25 2622 26.222002 47 3 
873 -2466 303 572 16501 60 25 2613 26.134001 47 3 
863 -2468 304 573 16522 40 25 2612 26.128002 47 3 
881 -2625 323 576 16581 55 25 2769 27.692001 47 3 
869 -2615 321 577 16601 32 25 2756 27.560001 47 3 
871 -2660 326 578 16621 80 25 2800 28.002001 47 3 
857 -2644 324 579 16641 57 25 2780 27.806002 47 3 
859 -2686 329 580 16661 22 25 2822 28.224001 47 3 
856 -2713 333 581 16681 22 25 2847 28.476002 47 3 
839 -2689 329 582 16701 32 25 2819 28.194002 47 3 
834 -2704 331 583 16719 10 25 2833 28.332001 47 3 
836 -2749 337 584 16739 22 25 2877 28.772001 47 3 
831 -2774 340 585 16760 35 25 2900 29.008001 47 3 
856 -2953 361 587 16799 12 25 3082 30.820002 47 3 
830 -2891 354 588 16819 12 25 3014 30.144001 47 3 
836 -2962 362 589 16840 55 25 3086 30.860001 47 3 
824 -2957 361 590 16859 12 25 3077 30.776001 47 3 
814 -2960 362 591 16879 27 25 3078 30.780001 47 3 
827 -3063 374 592 16899 60 25 3182 31.820002 47 3 
817 -3069 375 593 16919 45 25 3186 31.864002 47 3 
792 -3060 374 594 16959 30 25 3172 31.720001 47 3 
881 -2399 386 336 16442 12 25 2563 25.634001 48 3 
877 -2416 388 337 16462 12 25 2578 25.782001 48 3 
877 -2509 402 339 16523 12 25 2668 26.682001 48 3 
