x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1096 2453 -35 133 2475 53 25 2532 25.320000 1 0 
1093 2395 -34 134 2525 59 25 2479 24.790001 1 0 
1092 2344 -33 135 2575 57 25 2432 24.320000 1 0 
1091 2294 -31 136 2625 59 25 2387 23.870001 1 0 
1090 2246 -30 137 2675 59 25 2343 23.430000 1 0 
1089 2198 -29 138 2725 59 25 2300 23.000000 1 0 
1084 2145 -28 139 2775 59 25 2251 22.510000 1 0 
1085 2106 -27 140 2825 63 25 2217 22.170000 1 0 
1086 2069 -26 141 2875 61 25 2185 21.850000 1 0 
1085 2028 -25 142 2925 63 25 2148 21.480000 1 0 
1081 1983 -24 143 2975 61 25 2107 21.070000 1 0 
1079 1926 -22 144 3050 61 25 2057 20.570000 1 0 
193 2564 -25 69 375 33 25 2415 24.150000 2 0 
198 2485 -24 70 400 55 25 2337 23.370001 2 0 
208 2478 -24 71 425 71 25 2330 23.299999 2 0 
217 2467 -23 72 450 63 25 2320 23.200001 2 0 
238 2468 -23 73 500 15 25 2323 23.230000 2 0 
248 2467 -22 74 525 37 25 2323 23.230000 2 0 
257 2460 -22 75 550 115 25 2317 23.170000 2 0 
268 2463 -22 76 575 111 25 2321 23.209999 2 0 
278 2462 -22 77 600 115 25 2321 23.209999 2 0 
288 2460 -21 78 625 111 25 2320 23.200001 2 0 
298 2463 -21 79 650 113 25 2324 23.240000 2 0 
309 2465 -21 80 675 41 25 2327 23.270000 2 0 
340 2471 -20 81 750 61 25 2337 23.370001 2 0 
352 2481 -20 82 775 63 25 2349 23.490000 2 0 
214 2434 8 71 450 13 25 2287 22.870001 3 0 
257 2468 9 72 550 57 25 2325 23.250000 3 0 
268 2470 9 73 575 53 25 2328 23.280001 3 0 
277 2466 10 74 600 59 25 2325 23.250000 3 0 
288 2468 10 75 625 55 25 2328 23.280001 3 0 
298 2467 10 76 650 49 25 2328 23.280001 3 0 
207 2703 -18 511 699 12 25 2556 25.560001 13 1 
219 2468 -19 512 779 112 25 2323 23.230001 13 1 
226 2465 -19 513 798 250 25 2320 23.208000 13 1 
234 2463 -19 514 818 135 25 2319 23.198002 13 1 
242 2461 -19 515 839 112 25 2318 23.188002 13 1 
339 2456 -17 516 1076 20 25 2326 23.264002 13 1 
348 2459 -17 517 1097 20 25 2330 23.308001 13 1 
356 2460 -17 518 1117 10 25 2332 23.328001 13 1 
364 2460 -17 519 1137 10 25 2334 23.340002 13 1 
1150 4137 1 527 1833 27 25 4147 41.472000 13 1 
1103 2885 -2 528 2431 15 25 2948 29.484001 13 1 
1101 2726 -2 529 2549 12 25 2801 28.012001 13 1 
1102 2704 -2 530 2569 12 25 2781 27.816002 13 1 
1102 2657 -2 531 2609 12 25 2738 27.388000 13 1 
1099 2560 -3 532 2690 12 25 2648 26.488001 13 1 
1099 2538 -3 533 2710 12 25 2628 26.288002 13 1 
1099 2494 -3 534 2750 12 25 2589 25.890001 13 1 
1098 2472 -3 535 2770 12 25 2569 25.690001 13 1 
1097 2450 -3 536 2789 12 25 2549 25.490002 13 1 
1096 2428 -3 537 2809 10 25 2529 25.290001 13 1 
1095 2407 -3 538 2829 10 25 2509 25.090002 13 1 
1099 2394 -3 539 2850 10 25 2499 24.990002 13 1 
1093 2363 -3 540 2869 10 25 2469 24.690001 13 1 
1096 2350 -3 541 2889 10 25 2459 24.590002 13 1 
1093 2325 -3 542 2909 10 25 2434 24.346001 13 1 
1092 2288 -3 544 2948 10 25 2401 24.018002 13 1 
1093 2273 -3 545 2967 10 25 2389 23.890001 13 1 
1092 2234 -3 547 3008 10 25 2353 23.534000 13 1 
1091 2198 -3 549 3048 10 25 2322 23.222002 13 1 
1092 2183 -3 550 3067 10 25 2309 23.092001 13 1 
1088 2143 -3 552 3107 10 25 2271 22.716002 13 1 
1088 2127 -3 553 3128 10 25 2258 22.580002 13 1 
1087 2108 -3 554 3148 7 25 2240 22.408001 13 1 
1087 2093 -3 555 3168 7 25 2227 22.276001 13 1 
1087 2078 -3 556 3187 7 25 2215 22.152000 13 1 
1085 2059 -4 557 3207 7 25 2197 21.976002 13 1 
1084 2042 -4 558 3227 7 25 2182 21.828001 13 1 
1086 2030 -4 559 3247 7 25 2172 21.724001 13 1 
1083 2011 -4 560 3266 7 25 2155 21.552002 13 1 
1085 1999 -4 561 3286 7 25 2146 21.460001 13 1 
1084 1983 -4 562 3306 7 25 2131 21.316002 13 1 
1082 1966 -4 563 3327 7 25 2116 21.160002 13 1 
1083 1952 -4 564 3347 7 25 2104 21.044001 13 1 
1083 1939 -4 565 3367 7 25 2094 20.940001 13 1 
1080 1921 -4 566 3386 7 25 2076 20.768002 13 1 
1080 1907 -4 567 3406 7 25 2065 20.652000 13 1 
1083 1897 -4 568 3426 7 25 2058 20.580002 13 1 
1080 1880 -4 569 3446 7 25 2041 20.416000 13 1 
1081 1869 -4 570 3466 7 25 2033 20.332001 13 1 
1081 1856 -4 571 3486 7 25 2022 20.224001 13 1 
1079 1840 -4 572 3505 7 25 2007 20.076000 13 1 
1077 1824 -4 573 3524 7 25 1993 19.932001 13 1 
1080 1804 -4 575 3565 7 25 1978 19.784000 13 1 
1078 1788 -4 576 3585 7 25 1963 19.636002 13 1 
1075 1736 -4 580 3665 15 25 1919 19.196001 13 1 
1076 1725 -4 581 3685 15 25 1910 19.104000 13 1 
869 -2945 253 635 16768 95 25 3065 30.656002 46 3 
859 -2947 253 636 16788 95 25 3065 30.652002 46 3 
849 -2952 253 637 16808 95 25 3068 30.680002 46 3 
856 -3021 259 638 16827 72 25 3136 31.364002 46 3 
848 -3036 261 639 16847 97 25 3149 31.492001 46 3 
840 -3048 262 640 16867 75 25 3159 31.592001 46 3 
856 -3168 272 641 16887 50 25 3280 32.802002 46 3 
863 -3352 288 644 16946 110 25 3461 34.618000 46 3 
852 -3359 289 645 16966 110 25 3466 34.664001 46 3 
881 -2942 360 546 16749 12 25 3076 30.768002 47 3 
852 -3003 367 550 16829 12 25 3129 31.292002 47 3 
866 -3103 380 551 16848 30 25 3230 32.304001 47 3 
862 -3138 384 552 16869 47 25 3263 32.638000 47 3 
844 -3110 380 553 16889 30 25 3232 32.324001 47 3 
830 -3099 379 554 16909 47 25 3218 32.184002 47 3 
814 -3079 376 555 16928 45 25 3195 31.956001 47 3 
804 -3082 376 556 16948 30 25 3196 31.960001 47 3 
792 -3083 376 557 16968 15 25 3194 31.944002 47 3 
796 -3152 385 558 16988 47 25 3263 32.630001 47 3 
794 -3196 390 559 17008 50 25 3306 33.062000 47 3 
773 -3151 385 560 17028 32 25 3257 32.576000 47 3 
773 -3209 392 561 17048 50 25 3314 33.148003 47 3 
762 -3214 392 562 17068 15 25 3317 33.176003 47 3 
802 -3470 424 563 17088 20 25 3578 35.784000 47 3 
840 -3042 484 359 16871 20 25 3180 31.806002 48 3 
835 -3070 488 360 16891 20 25 3206 32.062000 48 3 
819 -3047 484 361 16910 20 25 3180 31.806002 48 3 
807 -3044 484 362 16930 20 25 3175 31.750002 48 3 
800 -3063 486 363 16950 20 25 3191 31.918001 48 3 
