x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1098 2748 -43 129 2225 47 25 2804 28.040001 1 0 
1099 2689 -41 130 2275 49 25 2750 27.500000 1 0 
1096 2620 -40 131 2325 49 25 2685 26.850000 1 0 
1093 2557 -38 132 2375 55 25 2626 26.260000 1 0 
1097 2508 -37 133 2425 51 25 2583 25.830000 1 0 
1093 2447 -35 134 2475 51 25 2526 25.260000 1 0 
1093 2395 -34 135 2525 53 25 2479 24.790001 1 0 
1092 2344 -33 136 2575 55 25 2432 24.320000 1 0 
1091 2294 -31 137 2625 55 25 2387 23.870001 1 0 
1089 2243 -30 138 2675 59 25 2340 23.400000 1 0 
1086 2194 -29 139 2725 59 25 2295 22.950001 1 0 
1085 2149 -28 140 2775 59 25 2255 22.549999 1 0 
1084 2105 -27 141 2825 61 25 2215 22.150000 1 0 
1084 2065 -26 142 2875 59 25 2180 21.799999 1 0 
1081 2020 -25 143 2925 63 25 2139 21.389999 1 0 
1082 1984 -24 144 2975 61 25 2109 21.090000 1 0 
1078 1923 -22 145 3050 61 25 2054 20.540001 1 0 
1078 1854 -21 146 3150 63 25 1995 19.950001 1 0 
1076 1787 -19 147 3250 63 25 1937 19.370001 1 0 
208 2485 -24 72 425 67 25 2337 23.370001 2 0 
218 2478 -23 73 450 67 25 2331 23.309999 2 0 
228 2471 -23 74 475 37 25 2325 23.250000 2 0 
248 2468 -23 75 525 37 25 2324 23.240000 2 0 
258 2473 -22 76 550 99 25 2330 23.299999 2 0 
268 2467 -22 77 575 113 25 2325 23.250000 2 0 
279 2470 -22 78 600 111 25 2329 23.290001 2 0 
288 2464 -21 79 625 113 25 2324 23.240000 2 0 
299 2471 -21 80 650 109 25 2332 23.320000 2 0 
308 2463 -21 81 675 55 25 2325 23.250000 2 0 
341 2474 -20 82 750 49 25 2340 23.400000 2 0 
352 2481 -20 83 775 63 25 2349 23.490000 2 0 
1065 1626 9 116 3500 15 25 1797 17.969999 2 0 
94 7016 13 71 50 31 25 6862 68.620003 3 0 
258 2475 9 72 550 51 25 2332 23.320000 3 0 
268 2474 10 73 575 55 25 2332 23.320000 3 0 
278 2473 10 74 600 53 25 2332 23.320000 3 0 
288 2472 10 75 625 53 25 2332 23.320000 3 0 
298 2471 10 76 650 55 25 2332 23.320000 3 0 
333 7579 -2 500 469 250 25 7430 74.306000 13 1 
357 7569 -1 501 488 127 25 7421 74.210007 13 1 
383 7564 -1 502 508 127 25 7417 74.178001 13 1 
410 7569 -1 503 529 130 25 7424 74.242004 13 1 
436 7560 0 504 549 127 25 7416 74.166000 13 1 
462 7567 0 505 569 130 25 7425 74.258003 13 1 
247 2471 -19 506 847 10 25 2329 23.292002 13 1 
362 2476 -17 507 1125 10 25 2349 23.492001 13 1 
370 2474 -17 508 1145 10 25 2349 23.492001 13 1 
1102 2537 -3 543 2716 12 25 2628 26.288002 13 1 
1105 2524 -3 544 2735 12 25 2618 26.188002 13 1 
1100 2493 -3 545 2754 12 25 2588 25.888000 13 1 
1099 2449 -3 546 2794 12 25 2548 25.488001 13 1 
1097 2405 -3 547 2834 10 25 2508 25.088001 13 1 
1096 2384 -3 548 2853 10 25 2488 24.888000 13 1 
1096 2365 -3 549 2873 10 25 2472 24.720001 13 1 
1098 2349 -3 550 2893 10 25 2458 24.588001 13 1 
1096 2272 -3 551 2973 10 25 2388 23.888000 13 1 
1094 2250 -3 552 2993 10 25 2369 23.692001 13 1 
1091 2229 -3 553 3012 10 25 2349 23.492001 13 1 
1094 2216 -3 554 3032 10 25 2339 23.392000 13 1 
1096 2204 -3 555 3052 10 25 2329 23.294001 13 1 
1094 2166 -3 557 3092 10 25 2294 22.946001 13 1 
1088 2140 -3 558 3112 10 25 2269 22.694000 13 1 
1089 2093 -3 561 3172 7 25 2229 22.294001 13 1 
1087 2044 -3 564 3231 7 25 2185 21.854000 13 1 
1086 1998 -4 567 3291 7 25 2145 21.454000 13 1 
1083 1950 -4 570 3351 7 25 2103 21.034000 13 1 
1083 1922 -4 572 3391 7 25 2079 20.794001 13 1 
1083 1908 -4 573 3411 7 25 2066 20.666000 13 1 
1083 1895 -4 574 3431 7 25 2056 20.562000 13 1 
1083 1869 -4 576 3470 7 25 2034 20.346001 13 1 
1082 1855 -4 577 3490 7 25 2022 20.222000 13 1 
1079 1823 -4 579 3530 7 25 1993 19.934000 13 1 
1079 1811 -4 580 3550 7 25 1983 19.830002 13 1 
1079 1799 -4 581 3569 7 25 1973 19.738001 13 1 
1078 1787 -4 582 3588 7 25 1963 19.630001 13 1 
1078 1774 -4 583 3608 7 25 1952 19.526001 13 1 
1078 1762 -4 584 3628 7 25 1942 19.426001 13 1 
1077 1748 -4 585 3649 7 25 1930 19.306002 13 1 
1078 1725 -4 587 3689 7 25 1911 19.118000 13 1 
1077 1712 -4 588 3709 7 25 1900 19.006001 13 1 
1077 1702 -4 589 3729 7 25 1892 18.922001 13 1 
1076 1677 -4 591 3769 7 25 1871 18.718000 13 1 
1077 1668 -4 592 3788 7 25 1865 18.650002 13 1 
1075 1655 -4 593 3808 7 25 1853 18.530001 13 1 
1073 1640 -4 594 3828 7 25 1839 18.398001 13 1 
1070 1544 -4 603 4006 12 25 1761 17.612001 13 1 
846 -3229 277 638 16928 25 25 3337 33.374001 46 3 
848 -3289 283 639 16948 25 25 3397 33.974003 46 3 
857 -3385 291 640 16968 82 25 3492 34.926003 46 3 
845 -3386 291 641 16988 55 25 3491 34.914001 46 3 
861 -3522 303 642 17008 87 25 3628 36.288002 46 3 
855 -3551 305 643 17027 87 25 3655 36.554001 46 3 
852 -3600 310 644 17047 90 25 3703 37.036003 46 3 
838 -3597 309 645 17067 90 25 3697 36.970001 46 3 
815 -3547 305 646 17087 27 25 3643 36.438004 46 3 
882 -2998 367 540 16772 27 25 3131 31.316002 47 3 
847 -3334 407 550 16970 17 25 3453 34.536003 47 3 
776 -3343 408 555 17089 37 25 3447 34.472000 47 3 
