x y z index horizontal_angle intensity ClassNum Distance Range_meter Laser_Line_Number sensorCount 
1089 2605 -39 134 2325 49 25 2669 26.690001 1 0 
1089 2546 -38 135 2375 55 25 2614 26.139999 1 0 
1089 2439 -35 137 2475 51 25 2517 25.170000 1 0 
1088 2385 -34 138 2525 53 25 2467 24.670000 1 0 
1088 2336 -33 139 2575 57 25 2423 24.230000 1 0 
1091 2294 -31 140 2625 61 25 2387 23.870001 1 0 
1084 2234 -30 141 2675 53 25 2330 23.299999 1 0 
1084 2190 -29 142 2725 55 25 2291 22.910000 1 0 
1082 2143 -28 143 2775 59 25 2248 22.480000 1 0 
1086 2108 -27 144 2825 57 25 2219 22.190001 1 0 
1084 2065 -26 145 2875 55 25 2180 21.799999 1 0 
1083 2023 -25 146 2925 57 25 2143 21.430000 1 0 
1083 1986 -24 147 2975 55 25 2111 21.110001 1 0 
1081 1929 -22 148 3050 61 25 2061 20.610001 1 0 
1081 1860 -21 149 3150 57 25 2002 20.020000 1 0 
233 2540 -24 68 475 57 25 2394 23.940001 2 0 
243 2528 -23 69 500 69 25 2383 23.830000 2 0 
274 2526 -23 70 575 25 25 2384 23.840000 2 0 
284 2521 -22 71 600 45 25 2380 23.799999 2 0 
293 2512 -22 72 625 105 25 2372 23.719999 2 0 
304 2511 -22 73 650 107 25 2372 23.719999 2 0 
314 2510 -21 74 675 109 25 2373 23.730000 2 0 
325 2512 -21 75 700 107 25 2376 23.760000 2 0 
335 2510 -21 76 725 63 25 2375 23.750000 2 0 
368 2521 -20 77 800 23 25 2390 23.900000 2 0 
380 2530 -20 78 825 61 25 2401 24.010000 2 0 
292 2507 10 71 625 43 25 2367 23.670000 3 0 
302 2506 10 72 650 43 25 2367 23.670000 3 0 
313 2509 11 73 675 45 25 2371 23.709999 3 0 
323 2503 11 74 700 43 25 2367 23.670000 3 0 
-18 7206 -8 498 197 250 25 7049 70.490005 13 1 
5 7200 -7 499 217 220 25 7043 70.430000 13 1 
30 7202 -7 500 237 32 25 7045 70.452003 13 1 
54 7202 -7 501 257 250 25 7045 70.450005 13 1 
79 7205 -6 502 277 220 25 7048 70.486000 13 1 
104 7206 -6 503 297 27 25 7050 70.504005 13 1 
315 7548 -2 504 456 127 25 7398 73.980003 13 1 
340 7540 -2 505 476 127 25 7391 73.912003 13 1 
391 7535 -1 506 516 202 25 7388 73.888000 13 1 
235 2653 -18 507 773 10 25 2508 25.088001 13 1 
255 2520 -18 508 853 10 25 2378 23.788002 13 1 
263 2516 -18 509 873 10 25 2375 23.752001 13 1 
271 2514 -18 510 893 10 25 2374 23.740002 13 1 
322 2522 -17 511 1013 10 25 2388 23.888000 13 1 
379 2511 -16 512 1152 10 25 2386 23.864000 13 1 
387 2508 -16 513 1172 10 25 2385 23.856001 13 1 
396 2510 -16 514 1192 10 25 2388 23.888000 13 1 
1108 3410 -1 519 2107 205 25 3441 34.416000 13 1 
1091 2188 -3 520 3059 10 25 2313 23.132002 13 1 
1096 2181 -3 521 3079 10 25 2309 23.092001 13 1 
1091 2138 -3 522 3119 10 25 2269 22.692001 13 1 
1094 2113 -3 523 3158 7 25 2249 22.492001 13 1 
1090 2000 -3 525 3297 7 25 2149 21.492001 13 1 
1090 1985 -3 526 3317 7 25 2136 21.364000 13 1 
1086 1909 -4 529 3417 7 25 2069 20.692001 13 1 
1088 1872 -4 532 3477 7 25 2039 20.392000 13 1 
104 -3280 -58 736 18207 12 25 3294 32.948002 44 3 
93 -3278 -57 737 18227 12 25 3292 32.928001 44 3 
847 -4150 358 670 17204 37 25 4245 42.450001 46 3 
834 -4162 359 671 17224 37 25 4254 42.546001 46 3 
832 -4236 365 672 17244 82 25 4327 43.274002 46 3 
815 -4223 364 673 17263 80 25 4311 43.110001 46 3 
804 -4247 366 674 17282 82 25 4333 43.334003 46 3 
807 -4366 377 675 17303 87 25 4451 44.518002 46 3 
791 -4364 376 676 17323 87 25 4447 44.478001 46 3 
776 -4373 377 677 17344 87 25 4454 44.542004 46 3 
